,tt,date,dt,db,freq,day_or_night,weather,power,band,pos_towers,average_distance
187,2003,20210420,0.17974137931034484,-11.456896551724139,1379.5431034482758,0,0,7.0,40,1,1351.0
185,1147,20210420,0.3815126050420167,-16.596638655462186,1493.764705882353,1,0,10.0,20,13,1430.076923076923
184,1702,20210420,0.1399441340782123,-12.810055865921788,1449.1648044692738,1,0,,40,0,
188,2035,20210420,0.19259259259259254,-11.592592592592593,1340.5185185185185,0,0,7.0,20,1,1802.0
189,1435,20210420,0.07653061224489796,-13.918367346938776,1595.1530612244899,1,0,,20,0,
190,1503,20210420,0.190625,-12.34375,1328.53125,1,0,5.0,40,13,938.3076923076923
186,1133,20210420,0.40952380952380957,-8.714285714285714,977.047619047619,1,0,10.0,40,18,776.1111111111111
191,2218,20210421,0.31847826086956527,-13.152173913043478,1516.7391304347825,0,0,10.0,40,2,1507.5
192,1548,20210421,0.15862068965517243,-15.039408866995075,1448.2019704433499,1,0,9.0,40,14,719.5714285714286
193,1357,20210421,0.09627329192546585,-13.428571428571429,1394.0621118012423,1,0,5.0,40,14,430.2142857142857
194,1232,20210421,0.14832713754646842,-15.799256505576208,1576.5241635687732,1,0,5.0,20,3,1211.6666666666667
195,1621,20210421,0.09043478260869567,-15.282608695652174,1538.4173913043478,1,0,6.0,20,2,973.0
196,1032,20210422,0.4486486486486487,-13.108108108108109,1246.4864864864865,1,0,5.0,40,16,686.75
197,1102,20210422,0.23461538461538464,-13.423076923076923,1135.4615384615386,1,0,,17,0,
198,1038,20210422,0.12448979591836735,-15.326530612244898,1250.6734693877552,1,0,5.0,20,9,1810.888888888889
199,1123,20210423,0.10396039603960398,-14.811881188118813,1251.851485148515,1,0,7.0,20,5,900.4
200,1102,20210423,0.05,-12.303030303030303,1430.2575757575758,1,0,7.0,40,18,710.5
201,2333,20210424,0.1,-15.4,2267.0,0,0,10.0,20,2,1784.0
202,2327,20210424,0.14957983193277313,-13.22689075630252,1464.5378151260504,0,0,10.0,40,3,1569.0
203,1216,20210426,0.32000000000000006,-16.355555555555554,1357.4888888888888,1,0,6.0,40,4,596.5
204,1956,20210426,0.0644787644787645,-13.092664092664092,1570.80694980695,1,0,8.0,40,2,926.5
205,1333,20210426,0.10727272727272728,-16.227272727272727,1379.1363636363637,1,0,6.0,20,7,1328.142857142857
