,Date,Transmission_Time,band,utc,power,Recieving_Station,Distance
0,20220525,0855,40,085515,6,G0KTN,300
1,20220525,0855,40,085514,6,2E0EJA,261
2,20220525,0855,40,085516,6,PB0AIC,434
3,20220525,0855,40,085514,6,NL8465PW,471
4,20220525,0855,40,085512,6,G0AKH,449
5,20220525,0855,40,085512,6,G1TZC,181
6,20220525,0855,40,085511,6,DL1ZAX,773
7,20220525,0855,40,085511,6,DL7DJ,666
8,20220525,0855,40,085511,6,G1MHU,46
9,20220525,0855,40,085500,6,PA3WLE,402
10,20230918,1046,20,104616,6,RU3FA/QRP,2461
11,20230918,1046,20,104615,6,SP8QEJ,1626
12,20230918,1046,20,104614,6,OH6IH,1708
13,20230918,1046,20,104600,6,SM2GHI,1909
14,20230918,1046,20,104615,6,F6DAY,983
15,20230918,1046,20,104615,6,EA1TF,1266
16,20230918,1046,20,104614,6,OH6GAZ,1781
17,20230918,1046,20,104612,6,SA3JEB,1574
18,20230918,1046,20,104612,6,OH2MDN,1587
19,20230918,1046,20,104612,6,OE3RLV,1375
20,20230918,1046,20,104612,6,OK1XLE,1115
21,20230918,1046,20,104600,6,HB9TMC,1101
22,20210704,2215,20,221520,8,HB9CQK,1013
23,20210704,2215,20,221518,8,US2YW,1968
24,20210704,2215,20,221516,8,HB9GKM,1023
25,20210704,2215,20,221516,8,DK1RWR,632
26,20210704,2215,20,221515,8,DJ9JF,741
27,20210704,2215,20,221515,8,EB5JFJ,1613
28,20210704,2215,20,221515,8,LZ2VQ,2218
29,20210704,2215,20,221515,8,ES5PC,1768
30,20210704,2215,20,221514,8,RL3AM,2418
31,20210704,2215,20,221514,8,OH7LOA,2065
32,20210704,2215,20,221512,8,OH8AV,1922
33,20210704,2215,20,221512,8,5P2UEFA/4,750
34,20210704,2215,20,221512,8,OH6GKW,1753
35,20210704,2215,20,221512,8,OH7GIQ,1908
36,20210704,2215,20,221512,8,DL5HU,777
37,20210704,2215,20,221500,8,WZ7I,5521
38,20210704,2215,20,221500,8,SM2GHI,1909
39,20220123,1621,40,162142,6,PD1BER,504
40,20220123,1621,40,162127,6,F4ARU/1,1163
41,20220123,1621,40,162127,6,DF8KI,662
42,20220123,1621,40,162120,6,DF2LV,683
43,20220123,1621,40,162118,6,LA6GKA,697
44,20220123,1621,40,162116,6,PA3HAW,564
45,20220123,1621,40,162115,6,F4ARU/2,1158
46,20220123,1621,40,162115,6,ON75WRC,470
47,20220123,1621,40,162114,6,PD5DRE,517
48,20220123,1621,40,162114,6,PD0HLA,430
49,20210614,1122,40,112215,8,DJ9PC,972
50,20210614,1122,40,112215,8,F1EYG,616
51,20210614,1122,40,112214,8,R6A12,396
52,20210614,1122,40,112212,8,G4EFE,273
53,20210614,1122,40,112212,8,G8GJC,105
54,20210614,1122,40,112211,8,DK7ZT,743
55,20210614,1122,40,112211,8,DK5TRI,584
56,20210614,1122,40,112211,8,M0SYJ,297
57,20210614,1122,40,112211,8,2E0GJU,211
58,20210614,1122,40,112200,8,ON3URE,487
59,20220518,1054,20,105415,7,EA1EAS,1483
60,20220518,1054,20,105414,7,ES1JA,1667
61,20220518,1054,20,105412,7,HB9CZR,957
62,20220518,1054,20,105412,7,OE3PBS,1386
63,20220518,1054,20,105412,7,PD0IFI,541
64,20220518,1054,20,105412,7,DC7OT,630
65,20220518,1054,20,105411,7,OZ2BX,653
66,20220518,1054,20,105400,7,HB9TMC,1098
67,20220518,1054,20,105400,7,SM2GHI,1909
68,20220422,1817,40,181715,6,G0OFE,361
69,20220422,1817,40,181715,6,DL2PK,591
70,20220422,1817,40,181716,6,MW6IUT,311
71,20220422,1817,40,181715,6,G0KTN,300
72,20220422,1817,40,181715,6,G0FVH,363
73,20220422,1817,40,181715,6,F4BKT,604
74,20220422,1817,40,181715,6,2E0EJA,261
75,20220422,1817,40,181715,6,PD2RPS,465
76,20220422,1817,40,181715,6,F4IYC,461
77,20220422,1817,40,181714,6,2E0LMA,256
78,20220422,1817,40,181714,6,M5ALA,84
79,20220422,1817,40,181714,6,F1NQP,553
80,20220422,1817,40,181714,6,F6KHM,662
81,20220422,1817,40,181714,6,GM8IEM,547
82,20220422,1817,40,181712,6,DK4RH,633
83,20220422,1817,40,181712,6,M7ICL,155
84,20220422,1817,40,181712,6,PA5PEK,437
85,20220422,1817,40,181712,6,DL7DJ,666
86,20220422,1817,40,181712,6,MM0URN,562
87,20220422,1817,40,181712,6,PA/DF1KSP/P,557
88,20220422,1817,40,181712,6,PD1BER,504
89,20220422,1817,40,181712,6,G0UBX,186
90,20220422,1817,40,181712,6,PE1MRN,457
91,20220422,1817,40,181712,6,G3VNC,323
92,20220422,1817,40,181712,6,G7RES,367
93,20220422,1817,40,181712,6,G6UED,165
94,20220422,1817,40,181712,6,GJ0VJP,534
95,20220422,1817,40,181712,6,G1ZZC,350
96,20220422,1817,40,181711,6,PD2TCW,546
97,20220422,1817,40,181700,6,ON3URE,487
98,20220422,1817,40,181700,6,SWLJO52,771
99,20220422,1817,40,181700,6,HB9TMC,1098
100,20211109,1915,40,191515,7,S52D,1406
101,20211109,1915,40,191512,7,EA4T,1517
102,20211109,1915,40,191512,7,EI7GSB,545
103,20211109,1915,40,191512,7,S51UN,1452
104,20211109,1915,40,191515,7,OL7M,1244
105,20211109,1915,40,191514,7,S58MU,1469
106,20230819,1646,40,164615,7,G0KTN,302
107,20230819,1646,40,164615,7,GX7WAB,364
108,20230819,1646,40,164614,7,G7VGY/P,363
109,20230819,1646,40,164612,7,F8MRQ,720
110,20230819,1646,40,164612,7,G6NWF,296
111,20230819,1646,40,164612,7,G0JDK,91
112,20230819,1646,40,164612,7,G7RMG,355
113,20230819,1646,40,164612,7,G0FQA,184
114,20230819,1646,40,164612,7,M0LKJ,299
115,20230819,1646,40,164611,7,G3YHN,165
116,20230819,1646,40,164600,7,MM3NDH,272
117,20211124,1048,40,104815,5,G8LCO,238
118,20211124,1048,40,104815,5,PC5Q,497
119,20211124,1048,40,104815,5,F1EYG,616
120,20211124,1048,40,104815,5,SM7IUN,921
121,20211124,1048,40,104815,5,G0KTN,300
122,20211124,1048,40,104815,5,G0OFE,361
123,20211124,1048,40,104815,5,GX4WAB,363
124,20211124,1048,40,104815,5,MM3NDH,264
125,20211124,1048,40,104815,5,G6DDX,163
126,20211124,1048,40,104815,5,PE1MNW,559
127,20211124,1048,40,104815,5,DL2PK,591
128,20211124,1048,40,104814,5,OZ5EM,728
129,20211124,1048,40,104814,5,F1BLQ,1020
130,20211124,1048,40,104814,5,2E0EJA,261
131,20211124,1048,40,104814,5,M7ODY,211
132,20211124,1048,40,104811,5,M7XLX,214
133,20211124,1048,40,104811,5,G4DFQ,183
134,20211124,1048,40,104800,5,PA3WLE,429
135,20211124,1048,40,104800,5,ON4RST,551
136,20211124,1048,40,104816,5,G0ISW,140
137,20211124,1048,40,104815,5,F4BKT,604
138,20211124,1048,40,104815,5,G4BRK,255
139,20211124,1048,40,104815,5,DL8YBL,603
140,20211124,1048,40,104814,5,DJ0OP,768
141,20211124,1048,40,104814,5,G1FJD,147
142,20211124,1048,40,104814,5,F8BBL,1012
143,20211124,1048,40,104812,5,DL5QL,590
144,20211124,1048,40,104812,5,M0MPQ,174
145,20211124,1048,40,104812,5,M0NPT,106
146,20211124,1048,40,104812,5,MM0NNA,304
147,20211124,1048,40,104812,5,DG4BAD,587
148,20211124,1048,40,104812,5,DL7DJ,666
149,20211124,1048,40,104812,5,M6DDF,302
150,20211124,1048,40,104812,5,OZ7VK,712
151,20211124,1048,40,104812,5,SA7LHJ,981
152,20211124,1048,40,104812,5,2E0HIW,271
153,20211124,1048,40,104812,5,MI0LPO,362
154,20211124,1048,40,104812,5,G3RIK,80
155,20211124,1048,40,104812,5,M0TAZ,276
156,20211124,1048,40,104812,5,M7CCZ,246
157,20211124,1048,40,104812,5,OZ8QI,853
158,20211124,1048,40,104812,5,LA3WJA,1008
159,20211124,1048,40,104812,5,ON4PB,583
160,20211124,1048,40,104812,5,G8DJF,260
161,20211124,1048,40,104812,5,ON6SAT,558
162,20211124,1048,40,104812,5,DG8WA,727
163,20211124,1048,40,104812,5,G1OJS,343
164,20211124,1048,40,104812,5,ON2BCB,471
165,20211124,1048,40,104812,5,LX1GG,692
166,20211124,1048,40,104812,5,DC5ES,589
167,20211124,1048,40,104812,5,G0ANH,66
168,20211124,1048,40,104812,5,PA3BMB,464
169,20211124,1048,40,104812,5,ON4JPV,532
170,20211124,1048,40,104812,5,M7XVK,188
171,20211124,1048,40,104811,5,PD5DRE,517
172,20211124,1048,40,104811,5,PD1AIQ,460
173,20211124,1048,40,104811,5,M3JIE,92
174,20211124,1048,40,104811,5,PC0NUL,454
175,20211124,1048,40,104811,5,GM0AXY,262
176,20211124,1048,40,104800,5,ON3URE,487
177,20210715,1709,40,170912,5,F6DJL,890
178,20220204,1135,40,113515,10,F1EYG,616
179,20220204,1135,40,113514,10,2E0EJA,261
180,20220204,1135,40,113515,10,ON75RCN,460
181,20220204,1135,40,113515,10,F5CWU,720
182,20220204,1135,40,113514,10,LA2XPA,1164
183,20220204,1135,40,113513,10,ON75CRD,499
184,20220204,1135,40,113512,10,G4XLO,420
185,20220204,1135,40,113500,10,SA7LIL,906
186,20220204,1135,40,113515,10,M0HOM,46
187,20220204,1135,40,113515,10,SM6FMB,897
188,20220204,1135,40,113515,10,G0KTN,300
189,20220204,1135,40,113514,10,PE1MNW,559
190,20220204,1135,40,113514,10,LX1HD,675
191,20220204,1135,40,113512,10,DK2AM,600
192,20220204,1135,40,113512,10,MC5WRG,232
193,20220204,1135,40,113512,10,LA6RJA,690
194,20220204,1135,40,113512,10,PD0JOY,428
195,20220204,1135,40,113512,10,G4SGD,132
196,20220204,1135,40,113512,10,PD7BDN,408
197,20220204,1135,40,113512,10,DL2OHL,662
198,20220204,1135,40,113512,10,HB9CQK,1023
199,20220204,1135,40,113512,10,M7CWF,48
200,20220508,0856,40,085600,9,PA3WLE,402
201,20220508,0856,40,085615,9,DD9LH,663
202,20220508,0856,40,085615,9,F1EYG,616
203,20220508,0856,40,085614,9,OZ1LHK,641
204,20220508,0856,40,085614,9,DF6DBF,645
205,20220508,0856,40,085614,9,PD2B,542
206,20220508,0856,40,085614,9,DF1VB,641
207,20220508,0856,40,085614,9,PD9T,411
208,20220508,0856,40,085612,9,DF4XX,739
209,20220508,0856,40,085612,9,OZ1DJJ,751
210,20220508,0856,40,085612,9,DC4FS,581
211,20220508,0856,40,085611,9,PC0NUL,454
212,20220508,0856,40,085611,9,G6FOV,433
213,20220508,0856,40,085611,9,HB9CQK,1023
214,20220508,0856,40,085600,9,PA3JH,515
215,20220929,1833,40,183315,6,G0OFE,362
216,20220929,1833,40,183315,6,PD2V,507
217,20220929,1833,40,183315,6,MM3NDH,272
218,20220929,1833,40,183314,6,2M0JAT,450
219,20220929,1833,40,183316,6,PC1JB,492
220,20220929,1833,40,183315,6,PD7RON,475
221,20220929,1833,40,183313,6,PA2RO,455
222,20220929,1833,40,183313,6,PH1M,421
223,20220929,1833,40,183312,6,PD0SOT,470
